cluster_id	ContamPct
498	68.8
499	85.9
500	0.0
501	110.4
503	0.0
504	0.0
505	0.0
506	14.9
507	0.0
508	371.1
509	70.3
510	390.0
511	6.8
512	29.4
513	51.6
514	32.8
515	0.0
516	4.1
517	180.9
518	0.0
519	0.0
520	0.0
521	205.4
522	0.0
523	0.0
524	196.3
525	inf
526	0.0
527	243.4
528	0.0
529	331.6
530	100.0
531	260.0
532	54.6
533	38.2
534	0.0
535	100.0
536	46.9
537	0.0
538	100.0
539	29.5
540	100.0
541	0.0
542	0.0
545	0.0
546	0.0
547	80.1
548	0.2
549	0.0
550	0.0
552	0.0
555	121.1
557	0.0
558	41.1
561	1.0
562	0.4
563	0.0
565	0.0
566	307.7
567	239.8
568	430.9
569	0.0
570	390.0
571	24.7
572	32.0
573	0.0
574	100.0
575	244.4
576	260.0
577	152.7
578	100.0
579	0.0
580	0.0
581	204.3
582	0.0
583	390.0
584	19.1
585	333.0
586	222.9
587	284.7
588	172.5
589	19.8
590	0.0
591	307.4
592	233.6
593	108.3
594	165.3
595	94.3
596	215.9
597	26.4
598	26.4
599	550.8
600	95.8
601	594.3
602	762.3
603	366.8
604	1115.8
605	599.1
606	340.7
607	975.0
608	1453.6
609	0.0
610	13.9
611	19.1
612	453.7
613	241.5
614	185.7
615	0.0
616	19.9
617	507.9
618	0.0
619	14.4
620	9.0
621	97.5
622	0.0
623	0.0
624	0.0
627	0.0
628	7485.0
629	396.6
630	2680.0
631	930.1
632	100.0
633	inf
634	6930.6
635	4360.5
636	3465.3
637	0.0
638	0.0
639	0.0
640	0.0
641	2275.4
642	73.2
643	3.7
644	0.0
645	100.0
646	0.0
647	100.0
648	644.6
649	4990.0
650	1815.7
651	2255.6
652	45.7
653	37.3
654	100.0
655	100.0
656	0.0
657	0.0
658	100.0
659	100.0
660	58.7
661	9.7
662	0.0
663	0.0
664	146.2
665	0.0
666	97.9
667	485.1
668	107.2
669	0.0
670	100.0
671	466.7
672	inf
673	0.0
674	0.0
675	100.0
676	100.0
677	100.0
678	0.0
679	100.0
680	0.0
681	28.5
683	0.0
684	0.0
685	0.0
686	0.0
687	296.1
688	25.6
689	132.7
690	100.0
691	205.6
692	0.0
693	0.0
694	486.4
695	184.8
696	0.0
697	0.0
698	260.0
699	0.0
700	0.0
701	353.6
