cluster_id	Amplitude
449	2272.3
450	1632.5
451	1454.9
452	1124.7
456	1621.5
457	1527.8
458	1100.2
459	1760.6
460	1579.7
461	1374.9
462	1110.1
463	1760.0
464	2807.5
465	1171.5
466	1275.9
467	1433.7
468	1056.7
469	1320.6
470	1482.0
471	892.4
472	3018.0
473	1879.8
474	930.6
475	1017.1
476	910.3
477	1420.1
478	939.8
479	777.1
480	989.6
481	1325.2
482	1030.6
483	1068.8
484	1028.2
485	873.9
486	1272.4
487	1003.0
488	1654.9
489	1795.0
490	1105.6
491	897.0
492	923.1
493	1282.1
494	1471.4
495	1331.1
496	1577.3
497	1153.2
498	2599.4
499	3615.3
500	2357.5
501	1442.6
503	1203.5
504	1159.0
505	1840.6
506	921.0
507	2192.0
508	1580.7
509	1453.7
510	1250.5
511	1032.2
512	1525.5
513	1508.0
514	1261.9
515	1463.3
516	1617.4
517	1561.4
518	845.4
519	890.1
520	1771.9
521	2269.1
522	1062.9
523	1335.0
524	1691.0
525	1988.0
526	1867.3
527	2454.6
528	1911.0
529	2525.6
530	1188.4
531	2019.4
532	1772.3
533	1175.1
534	1104.8
535	967.0
536	870.9
537	925.0
538	1258.7
539	1347.1
540	1389.7
541	940.1
542	1018.4
545	1198.0
546	1227.3
547	908.9
548	1527.1
549	1575.2
550	1361.3
552	1084.7
555	1330.8
557	765.8
558	1178.6
561	1450.0
562	656.5
563	517.3
565	1076.2
566	1400.1
567	3244.0
568	3884.6
569	1532.8
570	1697.2
571	1135.2
572	2373.1
573	1415.0
574	1043.4
575	2693.2
576	1287.1
577	1575.4
578	1224.7
579	1444.1
580	1032.7
581	1110.7
582	1311.3
583	1218.7
584	2782.9
585	4282.1
586	1549.4
587	960.2
588	3773.4
589	1270.6
590	1105.3
591	1129.2
592	847.7
593	1694.7
594	1162.1
595	1343.8
596	1131.6
597	1429.8
598	607.9
599	1438.0
600	2507.4
601	2423.0
602	2055.8
603	2157.7
604	2231.4
605	2860.8
606	1234.7
607	1619.3
608	1457.6
609	956.1
610	1050.1
611	1788.5
612	975.8
613	3588.5
614	1838.2
615	1792.7
616	2256.5
617	2121.3
618	1702.9
619	1529.5
620	1977.8
621	1065.0
622	1693.1
623	1799.0
624	1992.6
627	1388.7
628	963.0
629	2063.2
630	1838.0
631	1256.0
632	1132.9
633	1332.0
634	2089.9
635	2748.3
636	1935.2
637	688.7
638	1201.9
639	1053.4
640	1420.8
641	1540.8
642	1531.6
643	874.3
644	1138.6
645	946.8
646	915.6
647	748.4
648	1098.1
649	1068.9
650	1472.2
651	1163.6
652	2009.8
653	1723.3
654	992.5
655	1058.5
656	934.2
657	1095.8
658	945.1
659	1289.8
660	2431.8
661	2206.1
662	1575.7
663	1898.0
664	1556.7
665	1530.7
666	1607.3
667	1685.5
668	433.5
669	633.2
670	410.8
671	2209.3
672	1844.0
673	1290.6
674	2308.8
675	1250.7
676	1121.8
677	1348.6
678	1246.9
679	1119.3
680	784.5
681	942.5
683	1005.4
684	1827.5
685	749.0
686	1317.2
687	1468.4
688	1188.1
689	1799.7
690	1416.0
691	1288.6
692	1116.3
693	1159.6
694	1203.5
695	789.9
696	1205.6
697	1698.9
698	1046.3
699	942.2
700	1310.2
701	1501.5
702	2618.0
703	1591.4
704	1530.8
705	1109.8
706	1470.3
707	2257.9
708	2189.6
709	1471.1
710	1303.9
711	2136.1
712	1552.8
713	1970.9
714	1595.8
715	1267.2
716	982.2
717	2240.2
718	888.8
719	1140.7
720	860.2
721	888.6
722	1267.0
723	880.1
724	1849.4
725	1262.9
726	1007.5
727	1822.6
728	1436.1
729	1353.1
730	495.4
731	1475.9
732	1013.3
733	1370.9
734	1197.9
735	916.5
736	2512.9
737	985.9
738	1525.4
739	1588.5
740	3059.9
741	1393.5
742	947.5
743	1861.5
744	2150.9
745	1316.8
746	830.2
747	4337.4
748	830.8
749	742.6
751	1078.8
752	813.5
754	1660.5
757	740.6
759	946.3
762	824.4
763	765.4
764	1021.6
766	1408.1
767	2475.9
769	1198.5
770	1507.7
772	1280.6
773	1116.2
774	841.9
